content,is_english
Nice,True
nice,True
Food was delicious..,True
Third class food. They've sent me cold food it wasn't fresh. So much disappointed.,True
Great,True
There are no options in my city so I don't particularly like this application.,True
Amazing app for late night food delivery,True
Nice,True
bad,True
"Fantastic. I use to be awake at late night for work and study. Whenever I feel hungry, just order from Munchies. That's it. Problem solved. Such a relief for the people like me. Godspeed.",True
Just mind blowing,True
Took 2 and half hours and the dumplings were not soft enough. Wouldn't recommend.,True
Amazing!,True
They are giving false delivery time in their apps. They dont delivery food on time and try to avoid customer by giving different reason.,True
Options to order from multiple restaurants at the same time would be nice,True
So many bugs ... cant order food from multiple restaurant at once after update with SAME delivery cost. I used to get order in my area before now with this app i cant even order in my location. Soft drinks item doesnt include any diet cola/ pepsi too. I would prefer old system,True
Good,True
Delivery man needs to be well trained,True
Best late night service in BD,True
"**postive** If you live in Dhaka. Want to have some essential items or food at night. Munchies got you covered. I'd like to suggest you to give a try. App is smooth and UI is so attractive. Overall, It was a very good experience.",True
