content,is_english
"They turned off the review section, so what's the use of reviewing? They told me reviews are big so they couldn't fit in the app. What a joke! Tracking order doesn't work at all. The help center is useless and takes 15-20 mins to reply. After 2-3 hours they'll call n say that if u still have food we'll replace it. If any item isn't available, there's no revised bill. Subscription shows pickup order option and discounts but there's hardly any pickup restaurant option or discounts.",True
Poor service😐,True
can't install,True
This app was good as it was cheaper then Foodpanda but recently when I enter any restaurant's page to order the I can't scroll down as if the page froze I have install and uninstall to check if it works. But all the time same result. it work when I am scrolling the restaurant options but when I enter a specific restaurant page the page just get frozen.,True
"Worst user interface and user experience, too slow app. also the delivery service is bad.",True
Makes mistake in total bill count. Everytime it's add extra charges on total bill without any valid point mention in the description. Please correct this type of mistakes.,True
"worst app ever! Offers discount on food but delievers food that match the discounted price, not the food u ordered! such a fraud",True
not very good. because there is no discount and vouchers are available in this app. foodpanda is very good and save our money,True
Foodi is dead. Average waiting time is 50 minutes to 1 hour. Can you imagine? It's like you have to guess when you will be hungry and then order food in 2 days advance. Then MAYBE you will get your food on time.,True
very bad,True
There customer service is not so good. I got my order wrong. I asked solutions. It took them literally 2 hrs to do the right thing. First you wait for your order for too long & then wait another 2 hour for their mistake. I used this app for several time but each time it disappoints me. Nice keep up this bad service!!,True
Very disappointing! Delivery takes way too long. Totally dissatisfied with the service,True
The app does not work in Android 15.,True
worst service. I tried more then 20 time but I didn’t received any OTP for my number verification.,True
"All the food items are priced 30–100 taka higher than the shop, plus there is a delivery charge.",True
Worst service ever,True
"one of the worst food delivery app in Bangladesh... worse customer service, worse behavior, worse customer solution... the agent even doesn't know his/her company policy.",True
I ordered food they take 1 hour it's not a big deal but they gave me the wrong order. Then I complained about it They took more hours to solve it. Their rider told me to compromise.,True
"I like the app because of its location accuracy. which food panda didn't do it . On food panda , I have to set location blah, blah. On Foodi, just turn on the location .Don't need to set. Must highly recommend to download this app",True
disgusting service,True
"App is not working. Can't order. Why not take a good developer or use AI? I hungry I want to bacon houses from burger express. Also paying pro is not a good idea, cuz as soon as you use an offer the benefits of paying pro fades away.",True
"This is the worst food delivery app I have used in my life. It once delivered my food at 12:30 in the night after I had placed the order at 9:45ish. And every complaint, I have regarding any issues , it seems they have zero solutions towards it and zero zeal to improve them further. Perhaps the worst food delivery app I have used in the country so far. I generally don't write reviews but they have forced me to. And If there was a way to give a 0 star, they would probably deserve that.",True
The app is good. But the food rescue is a scam. I responded in less than 10 seconds but it shows the offer is not available. They don't give any offers or promo,True
Very bad experience. i Can't find any thing special.,True
Suddenly puts a location previously WITHIN their delivery zone to 'OUT of delivery' zone. Really disappointing. N.B. its not even any remote location.,True
"Worst app ever, Even the login page has so many issues. Not recommend at all",True
good,True
An excellent food delivery app service level 10/10,True
"Super easy to use, fast delivery, and great food options. Everything runs smoothly, and I live how user- friendly the interface is. Highly recommended for all food lovers.",True
4 days ago I ordered some food like 2 pieces of chicken rice platter and some cheese nuggets from rice and spice total cost around 413 tk so first of all it took them 1 hr and 30 mins to give me my food 2nd the size was like 20 tk peice size but I payed 150 for that nugget didn't have a single cheese I payed 120 for that when I complained they said they would look into that matter and fix it I showed them pics also they said they would call medidn't fix anything and didn't givemeanything,True
"I've been using both foodpanda and foodi for a while now, one thing is for sure which is obviously noticeable that the price is lower in foodi than foodpanda. But I'd like to give some suggestions, one thing is there are so many restaurants in which photos of the food are not available so maybe sometimes some people do not really understand what they're buying (just in case), so maybe add some and another suggestion might be that, foodpanda offers grocery buying, you can also do that.",True
first delivery,True
there are no option to review after 1 hours? why its must 24 hours need to option opened.,True
"everything is fine. everything works. but logging in is always such a problem. like i press in ""forgot password"" and then I have to wait for the code and I don't even know where it comes from. that's a small problem, but that's causing so much. i think it's a good idea to include where the code is coming from, it's efficient. please take this as a sign to improve and not just let this problem be. thank you. either way, this app has helped me a lot. getting food deliveries were never this easy.",True
new update is really good. i love ordring through foodi.,True
useless application not working in whole islamabad,True
terrible delivery time.. it takes more than 1.25 hour to deliver food.. very much unsatisfied with their delivery service..,True
Nice Food Delivery and Fast Delivery ❤️❤️🤔,True
Seamless service. Very good service.,True
"one time I ordered from foodie and they cancelled it and after that I ordered the same food from foodpanda, after a while from the app ""foodi"" delivery man calls me to tell him my address and I tell him that YOU guys cancelled the order and now I've already ordered from foodpanda and I can't take the order anymore (from foodi). They agree to it and now FOODI are not letting me pay on cash on delivery . so yea that sums it up . its their fault and I lose the access to pay cash on delivery 😑",True
one time i ordered food and the delivery guy said he was on my address but he wasn't I was waiting for 20 mins straight then he cancelled tye order at last now I can't pay on cod do smth abt it,True
The worst app I used ever. Didn't get my food on time. They were late almost 2 hours. I ordered for the first time And get so disappointed. I'll never recommend anyone to use this app ever. And also the management isn't good enough.Also when I want to open the account they gave instructions to use capital letter small letter and so on. I followed all the instructions though the account isn't opened. After so many attempts then I can open my account.,True
user friendly,True
Very fast service. They took very less time to deliver.,True
excellent,True
Delivery Time is to poor.,True
please add foodiMart..only for grocery...,True
"400 tk order was placed itself,. i had to pay the full price... even though i didn’t even place the order,,,, this app worked itself,,,, worst money sicking experience",True
worst,True
"Worst experience with this app and their customer care executives. They failed to deliver the food within the promised time, and instead of resolving the issue, their response led to further customer harassment. The order was cancelled due to their own fault, yet they unfairly penalized the customer by disabling the Cash on Delivery (COD) option. Extremely disappointing and unacceptable service.",True
Not good. Brac bank credit card doesn't work. I thought there's something wrong with my card. But immediately worked on another platform. You guys need to get your house in order.,True
There service is getting worsen everyday after ordering they will take literary 1-2 hours then they will cancel it saying the food is unavailable,True
Terrible experience. Never pay in advance here. Horrible app with trash service.,True
Service is very poor. Had to wait more than an hour to get served . Maybe they have appointed fewer people than needed. The vouchers don't work. Not up to the mark.,True
Useless food delivery app ever. Took 2h to cancellation order. like they own the time. stop your business if you cant serve properly.,True
"You should monitor how long it takes to make the recipe and deliver it to the consumers. on this app, i at least have to wait 2 and a half hour for my food to arrive. is that what a customer want? please don't use this app if you hope to receive your order within an hour or so. they don't care about the customers.",True
"i have been using it for 6 7 months now and its my honest review,the app was fine but it deducted my money 3 4 times when i did online payments and got no food and didn't even get a refund..i called them but there was no help from their side.. very very poor customer service secondly i ordered 3 days back and 1 item was missing,they didn't even take responsibility. deleting this app 0 recommendations",True
"Extremely disappointing. Stay away. They deliver food long after the promised time, & it’s always cold, tasteless, and poorly packed. The customer service is beyond useless—they can’t communicate properly and offer no solution at all. The app and website are a joke—slow, buggy, and missing essential features. Ordering through Foodi feels like a gamble every time. Honestly, Foodpanda is a thousand times better—this company can’t even come close. Foodi is a poorly run, unprofessional, & unreliable",True
I can't even order anything because there is no place to put in a billing address when paying with credit card. My credit card automatically declines every purchase because of this,True
literally takes 2 hour to deliver whereas the distance of restaurant isn't even 30 min away . rider doesn't respond keeps on hanging. Apps glitches too much,True
Delivery riders are taking too long. They collect multiple food items in one order but deliver them very late—sometimes after 1 to 1.5 hours. This causes the food to arrive cold and affects the overall experience. Please improve the delivery process. location: LAL,True
"""Worst delivery service ever!"" The delivery system is absolutely terrible. It regularly takes 1 to 2 hours just to get my food, even when the restaurant is nearby.",True
Worst food delivery apps. It takes too much time to place an order.,True
Coupons doesn't work at all,True
their service too poor. I think they are fraud because in real & in app prices are not match 😑😑😑,True
good,True
best,True
very worse service,True
the customer support is very slow to respond and I ordered a food which the restaurant delivered spoiled food so I complained it was around 6 pm they contacted me and the delivery guy arrived to pick the food at 8.30 pm and the restaurant sent new food at 11 pm and cold the delivery guy seemed exhausted he said he was waiting at the restaurant this long the customer support is worst they could have just returned my money back or could have pressure the restaurant to deliver fast or any voucher,True
"extremely bad service, took 2+ hours in almost every order",True
the service is quite bad and it takes too much time to deliver you food and i've many problems with them and tried to resolve this issues by their support team but they ar useless..rather use foopanda,True
"I don't recommend foodie. I can't modify my phone number in it. Also, when I ordered for the second time, I couldn't find the cash on delivery options. They were requesting online payment, which is not possible for me...",True
so good,True
They never deliver on time.,True
delivery time is super inconsistent. It keeps raising.,True
"Don't understand why Foodi isn't delivering in my area anymore, it's been like this for the last month. If you're gonna throw excuses, I'm not interested cause I'm pretty sure it'll be laughable, you guys suck at your service anyways.",True
worst app and physical services. i have ordered some food from a restaurant 2.5 km away and am waiting for 1 hour 40 minutes! No response yet!,True
Why aren't the shops open at night? Why bro don't you want to eat at night?. people get hungrier at night. 😖😤💔,True
Any shop are not here in my are 😭😭. I nan not take any order,True
"Worst Service you could never imagine, called the helpline 3 times, once picked no solution, reported late issues no solution, Rider has assigned multiple order it's more than 2 hours I still didn't get the food. Please avoid this app.",True
good,True
Not Satisfied,True
takes long time in delivery,True
I was really satisfied with this app but recently it's not showing me any restaurants in my area !!please try to solve this,True
"Superfoodi subscription is useless. The only benefit is free delivery for the order above 350 BDT. Unlike Foodpanda, they don't give any special vouchers to Superfoodi subscribers. Also the ordering process is not intuitive. The UI needs improvement. They don't seem to listen to customer feedback.",True
this is a very good food delivery app. their services are very good.,True
worst app ever...took 2 hours for an order from a restaurant 30 min away from my home,True
It takes 2 hours of more to get food delivered. Poor delivery service. Worse customer service. I have received apology voucher of a minimum amount from them once or twice but they too are unusable as they have put terms and conditions on that APOLOGY VOUCHER. VERY CHEAP MINDSET.,True
Helpful app when I feel hungry.,True
It takes half a dacade to deliver food and still they say only 5 mins needed. I've never got food on time.,True
why can't I rate my order after only 1hr ? And why does delivery take almost 2hrs?,True
worst customer support ever. they try to blame it on you. if you ask for help with something they'll just say it's not their issue and it's the restaurant's fault. they will replace your order if you have it sitting at your table for 3 hours. their policies suck.,True
Trash service,True
worst app ever you can't report about any issues and also they give so much late delivery and they even don't give you any answer if you also report,True
foul app. I faced inconveniences and found bugs in my food not only did they refuse to refund me but also kept me waiting for hours. customer service sucks. Foodpanda is way better. utterly disappointing,True
"Very bad experience, I ordered food at 7 pm, and was waiting for the order, and after 1 hour I called the delivery man and he said he won't be delivering the order.",True
"This app has failed miserably in many aspects. But I'd like to highlight their customer service team. Bravo! After the waiting time of 20-30 mins, they finally replied to my complaint. After that when I asked for further information,they just left the message on read 😂 Absolute circus 🤡 Shut down the app, no need to harass the customers.",True
