content,is_english
Very bad in Ramadan price so high . Before Ramadan was good,True
Worst delivery time possible. If you order kfc from food panda it arrives double as fast as it would if you'd order from the kfc app,True
I can't order😑 from this address😑,True
Good,True
Totally horrible app!! It has almost been 2 hours since I placed the order and it's still not here! There's not even a cancellation option! There's no option for calling the seller nor i can see how far they've arrived! So disappointed!,True
It is not helpful for me. KFC shop is not near from my home.,True
"Hey Kfc , The interface of the app is amazing but the sad thing is in our area that is Vatara,Vatara more Kfc is not giving delevery i am really disappointed Whenever my mood became to eat kfc food i need to goto jamuna future park outlet or others I cant enjoy your food in home. I Know this an new online service for bangladesh, I hope You will facalate us more location for enjoy your food. Thats all from Me Thanks.",True
Useless App & Service..When i thought finally BD has these type of Upgrade & Bam..Boom..Disappointed hits you in the Face..,True
not available in our area. we want Demra branch.,True
Too slow in sing up.,True
Good for 1st order. But they dont give any discount / free things from 2nd. Its better to use foodpanda from 2nd order to get discount.,True
I cannot sign.up because this app asks for an eleven digit phone number. I have never seen a South African phone number with that many digits. Not useful at all,True
Good food 😀😀😀😀😀😀😀😀😀😀😀😀😀,True
It's only available in bogura.people from another location can't get it.,True
Before thanksgiving,True
"My area (RKMR) is right next to their wari outlet but they doesn't delivery to my area and whenever I try to place an order tells me to get takeaway, what's the point of this app then if I have to go get my pizza from the restaurant itself.",True
Does not even register,True
"What a absolute trash app,so horrible full of bug,,I tried registration for like 20 time and the stupid app won't get me registered 😂😂😂😂",True
The delivery service of KFC was terrible. They sent my order to a wrong address and then took 1 hour and 20 minutes to deliver to me. The taste of the food was not upto the mark also. I had to call their hotline number several times but they didn't answer mostly. Totally disappointed. I am never ordering again at KFC by online or by their app anymore.,True
Good,True
Account open e hoi na 🤦🏻‍♂️,True
Wow,True
Verification Code not coming.... Fix it please,True
Delivery range is not good enough I can order KFC with Food panda they have good area coverage Whole Vatara alaka te coverage nai seriously!,True
Scam. Didn't give any free chicken as per their commitment,True
"Well but your Service is not my aria Jatrabari Please do something, thanks",True
"My biggest issue is that they dont pick up the phone I was trying to make a call as why was my order taking so long, They gave two numbers both were unanswered i hope that they will try to improve their phone service",True
cant sign up,True
Ony first order I put in the voucher for 2 free chicken and I didn't get it. Also the estimate time for my order was 30 minutes but they took just a little bit longer than a whole hour,True
Worst app ever.. Dont even give simple functionality of sign in.. I think u dont pay much to the developers.,True
Need more development of this ridiculous application !,True
This app is really amazing so as their customer service. Got my food on time. Keep it up.,True
